2024-01-15 08:00:01 INFO  Application started successfully
2024-01-15 08:01:22 INFO  User admin logged in
2024-01-15 08:02:45 WARNING  High memory usage detected: 78%
2024-01-15 08:03:10 INFO  Scheduled backup started
2024-01-15 08:04:33 ERROR  Database connection timeout after 30s
2024-01-15 08:05:01 INFO  Retrying database connection...
2024-01-15 08:05:04 INFO  Database connection restored
2024-01-15 08:06:17 WARNING  Disk usage at 85% on /dev/sda1
2024-01-15 08:07:22 ERROR  Failed to write to /var/log/app.log: Permission denied
2024-01-15 08:08:45 INFO  Backup completed successfully
2024-01-15 08:09:10 WARNING  CPU usage spike: 92% for 10 seconds
2024-01-15 08:10:00 ERROR  Service nginx failed to restart
2024-01-15 08:11:15 INFO  Health check passed
2024-01-15 08:12:30 INFO  Deploying new container: app-v2.1.3
2024-01-15 08:13:44 WARNING  Deprecated API endpoint called: /api/v1/users
2024-01-15 08:14:55 ERROR  Out of memory: killed process 4821
2024-01-15 08:15:10 INFO  Container app-v2.1.3 is running
2024-01-15 08:16:22 INFO  Load balancer routing updated
2024-01-15 08:17:35 WARNING  SSL certificate expires in 7 days
2024-01-15 08:18:50 INFO  Monitoring agent connected
